NAME,POS,EST. RETURN DATE,STATUS,COMMENT
Tamar Bates,G,Apr 1,Out,Dec 22: The Nuggets announced Monday that Bates (foot) will be re-evaluated in 12 weeks.
Cade Cunningham,G,Jan 25,Day-To-Day,Jan 24: Cunningham is probable for Sunday's game against the Kings due to right wrist injury management.
Caris LeVert,G,Jan 25,Day-To-Day,Jan 24: LeVert (illness) is doubtful for Sunday's game against the Kings.
Jonathan Kuminga,F,Jan 26,Out,Jan 24: Kuminga is out for Saturday's game against Minnesota due to left knee soreness.
De'Anthony Melton,G,Jan 25,Day-To-Day,"Jan 24: Melton (rest) is questionable for Sunday's game in Minnesota, Anthony Slater of ESPN.com reports."
Al Horford,C,Jan 25,Day-To-Day,Jan 24: Horford (left toe injury management) is questionable for Sunday's game against Minnesota.
Stephen Curry,G,Jan 25,Day-To-Day,Jan 24: Curry is listed as questionable for Sunday's game against Minnesota due to right knee soreness.
Jimmy Butler III,F,Dec 1,Out,"Jan 20: Butler's injury from Monday Night's game involves a torn right ACL and he will be out for the rest of the season, per Shams Charania of ESPN."
Seth Curry,SG,Jan 26,Out,Jan 11: The Warriors announced Sunday that Curry is making progress in his recovery from a sciatic nerve issue and will be re-evaluated in two weeks.
Dorian Finney-Smith,F,Jan 26,Day-To-Day,Jan 23: Finney-Smith is out for Friday's game against Detroit due to left ankle injury management.
Tari Eason,F,Jan 26,Day-To-Day,Jan 23: Eason (rest) will not play Friday against the Pistons.
Aaron Holiday,G,Jan 26,Out,Jan 23: Holiday is out for Friday's game against the Pistons due to back spasms.
Steven Adams,C,Mar 16,Out,"Jan 20: Head coach Ime Udoka said Tuesday that Adams suffered a ""severely sprained, Grade 3 ankle sprain"" and will be out indefinitely, Vanessa Richardson of Space City Home Network reports."
Fred VanVleet,G,Jun 1,Out,"Sep 22: VanVleet suffered a torn ACL and may be out for the entire 2025-26 campaign, Shams Charania of ESPN reports."
Quenton Jackson,G,Jan 26,Day-To-Day,"Jan 23: Jackson (ankle) won't play in Friday's game against the Thunder, Dustin Dopirak of The Indianapolis Star reports."
Bennedict Mathurin,G,Jan 26,Out,Jan 22: Mathurin (thumb) has been ruled out for Friday's game against the Thunder.
Obi Toppin,F,Feb 2,Out,"Oct 31: Toppin will undergo surgery to place a screw in his right foot Monday, Dustin Dopirak of The Indianapolis Star reports."
Tyrese Haliburton,G,Oct 1,Out,"Jul 7: Haliburton will miss the entire 2025-26 season while recovering from surgery on his right Achilles tendon, Shams Charania of ESPN reports."
Kawhi Leonard,F,Jan 25,Day-To-Day,"Jan 24: Leonard (knee/illness) is listed as questionable for Sunday's game against Brooklyn, Joey Linn of SI.com reports."
Bogdan Bogdanovic,G,Feb 2,Out,Jan 24: Bogdanovic (hamstring) won't play Sunday against the Nets.
Derrick Jones Jr.,F,Feb 19,Out,"Jan 4: Jones has been diagnosed with a Grade 2 MCL sprain in his right knee and will be re-evaluated in six weeks, Shams Charania of ESPN reports."
Bradley Beal,G,Oct 1,Out,"Nov 12: Beal will undergo season-ending surgery on his left hip, ESPN's Shams Charania reports."
Austin Reaves,G,Jan 26,Out,"Jan 24: Head coach JJ Redick said that Reaves scrimmaged Saturday and that Reaves should be able to return ""sooner than later,"" Dan Woike of The Athletic reports."
Adou Thiero,F,Feb 2,Out,"Dec 31: Thiero will miss at least four weeks with a right MCL sprain, Law Murray of The Athletic reports."
Santi Aldama,F,Jan 26,Out,Jan 24: Aldama (knee) has been ruled out for Sunday's game versus the Nuggets.
Ty Jerome,G,Jan 30,Out,"Jan 24: Grizzlies head coach Tuomas Iisalo said Friday that Jerome (calf) is likely to make his season debut within 1-to-2 weeks, Jonah Dylan of The Memphis Commercial Appeal reports."
Ja Morant,G,Feb 20,Out,"Jan 24: Morant (elbow) will be reevaluated in approximately three weeks, the Grizzlies announced Saturday."
Scotty Pippen Jr.,G,Feb 20,Out,Jan 14: The Grizzlies announced Wednesday that Pippen is progressing well in his recovery from left toe surgery and is expected to return in 4-6 weeks.
Zach Edey,C,Mar 4,Out,Jan 14: The Grizzlies announced Wednesday that Edey continues to recover from a stress reaction in his left ankle and will maintain his current plan of offloading and rehabilitation before being re-evaluated in six weeks.
Brandon Clarke,F,Feb 20,Out,"Jan 14: Clarke is progressing well from his Grade 2 right calf strain and is expected to return in four to six weeks, the Grizzlies announced Wednesday."
Davion Mitchell,G,Jan 25,Out,"Jan 24: Mitchell (shoulder) is out for Saturday's game against the Jazz, Ira Winderman of the South Florida Sun Sentinel reports."
Kel'el Ware,C,Jan 28,Out,"Jan 23: Ware returned to Miami for treatment on his strained right hamstring Thursday, and he won't play in the Heat's back-to-back set against the Jazz on Saturday and the Suns on Sunday, Ira Winderman of the South Florida Sun Sentinel reports."
Tyler Herro,G,Jan 28,Out,"Jan 19: An MRI revealed a costochondral issue with Herro's ribs that will sideline him for Miami's five-game road trip, Anthony Chiang of the Miami Herald reports."
Terry Rozier,G,Feb 20,Out,"Oct 23: The NBA placed Rozier on immediate leave from the Heat on Thursday, ESPN's Shams Charania reports."
Gary Trent Jr.,G,Jan 25,Day-To-Day,Jan 24: Trent (illness) is probable for Sunday's game against the Mavericks.
AJ Green,G,Jan 25,Day-To-Day,Jan 24: Green (illness) is listed as questionable for Sunday's game against Dallas.
Giannis Antetokounmpo,F,Feb 20,Out,"Jan 24: Antetokounmpo said after Friday's 102-100 loss to the Nuggets that he expects to be sidelined for at least 4-to-6 weeks due to the right calf injury he appeared to suffer during the first quarter, Jamal Collier of ESPN.com reports."
Kevin Porter Jr.,G,Feb 3,Out,"Jan 21: Doc Rivers said that Porter (oblique) won't play ""any time soon,"" and he's without an official timetable to return, Justin Garcia of Locked On Bucks reports."
Taurean Prince,F,Feb 20,Out,"Jan 1: The Bucks applied for a Disabled Player Exception for Prince earlier this month, indicating that they anticipate that he's ""substantially more likely than not"" to be unable to play through June 15, Eric Nehm of The Athletic reports."
Terrence Shannon Jr.,G,Jan 26,Out,Jan 19: Shannon (foot) has been ruled out for Tuesday's game against the Jazz.
Jose Alvarado,G,Jan 25,Out,Jan 24: Alvarado (oblique) is listed as questionable for Sunday's game against San Antonio.
Dejounte Murray,G,Feb 20,Out,"Jan 7: Pelicans head coach James Borrego said Sunday that Murray (Achilles) is ""making a lot of progress"" but doesn't appear to be close to making his season debut, Rod Walker of The New Orleans Times-Picayune reports. ""We hope to get him back in our building here soon. He's doing a lot of work getting ready to get back here,"" Borrego said of Murray. ""I say in the next month we'll have a little bit more clarity on where he's at. But he's made a lot of progress. Significant progress."""
Ajay Mitchell,G,Jan 27,Out,Jan 24: Mitchell (abdomen) won't play Sunday against the Raptors.
Alex Caruso,G,Jan 27,Out,Jan 24: Caruso (adductor) won't play Sunday versus the Raptors.
Isaiah Hartenstein,C,Jan 27,Out,Jan 24: Hartenstein (calf) won't play in Sunday's game against Toronto.
Aaron Wiggins,G,Jan 25,Day-To-Day,Jan 24: Wiggins is questionable to play Sunday versus the Raptors due to a right hip impingement.
Jalen Williams,G,Feb 3,Out,"Jan 19: Williams (hamstring) will be re-evaluated in two weeks, Justin Martinez of The Oklahoman reports."
Nikola Topic,G,Feb 20,Out,"Oct 30: Topic has been diagnosed with testicular cancer, Thunder general manager Sam Presti announced Thursday, Justin Martinez of The Oklahoman reports."
Thomas Sorber,C,Oct 1,Out,"Sep 5: The Thunder announced Friday that Sorber has sustained a torn ACL in his right knee during an offseason workout, NBA reporter Marc Stein reports."
Franz Wagner,F,Jan 26,Out,Jan 23: Wagner (ankle) has been ruled out for Saturday's game against the Cavaliers.
Colin Castleton,C,Jan 26,Out,"Nov 24: The Magic plan to sign Castleton to a two-way deal, Michael Scotto of USA Today reports."
Jalen Green,G,Jan 25,Day-To-Day,"Jan 24: Green (hamstring) is questionable for Sunday's game against Miami, Duane Rankin of The Arizona Republic reports."
Devin Booker,G,Jan 27,Out,"Jan 24: Booker (ankle) is out for Sunday's game against the Heat, Duane Rankin of The Arizona Republic reports."
Robert Williams III,C,Jan 26,Day-To-Day,"Jan 24: Williams (knee) has been ruled out for Friday's game against the Raptors, Casey Holdahl of the Trail Blazers' official site reports."
Duop Reath,C,Jan 26,Day-To-Day,"Jan 24: Reath (foot) has been ruled out for Friday's game against the Raptors, Casey Holdahl of the Trail Blazers' official site reports."
Deni Avdija,F,Jan 26,Day-To-Day,"Jan 24: Avdija (back) has been ruled out for Friday's game against the Raptors, though he will travel with the Trail Blazers for their upcoming three-game road trip, Danny Marang of 1080 The Fan Portland reports."
Kris Murray,F,Jan 26,Out,Jan 23: Murray is out for Friday's game against Toronto due to a lumbar strain.
Scoot Henderson,G,Jan 26,Out,Jan 23: Henderson (hamstring) will not play Friday against the Raptors.
Matisse Thybulle,G,Jan 26,Out,"Jan 16: Thybulle (knee, thumb) won't play Saturday versus the Lakers and remains without a timetable to return."
Blake Wesley,G,Jan 30,Out,"Nov 5: Wesley underwent a successful procedure to repair a fracture of the fifth metatarsal base in his right foot Wednesday, and he's expected to be sidelined for 8-12 weeks, Brett Siegel of ClutchPoints.com reports."
Damian Lillard,G,Oct 1,Out,"Sep 25: Lillard won't be back on the court for the 2025-26 season, as he made clear during an interview with YouTube influencer Speed on Wednesday."
Zach LaVine,G,Jan 25,Day-To-Day,Jan 24: LaVine is now questionable for Sunday's game against the Pistons due to low back soreness.
Keegan Murray,F,Feb 4,Out,"Jan 6: Murray (ankle), who won't play in Monday's game against Dallas, is expected to miss at least three weeks, NBA reporter Marc Stein reports."
Luke Kornet,C,Jan 25,Day-To-Day,"Jan 24: Kornet (thigh) is listed as questionable for Sunday's game against the Pelicans, Paul Garcia of ProjectSpurs.com reports."
David Jones Garcia,F,Jan 25,Day-To-Day,"Jan 21: Jones Garcia totaled 12 points (5-7 FG, 1-1 3Pt, 1-2 FT), five rebounds, six assists, one block and three steals in 19 minutes during Thursday's 135-126 victory over the Hawks."
Immanuel Quickley,G,Jan 25,Day-To-Day,Jan 24: Quickley is now questionable for Sunday's game against Oklahoma City due to right ankle soreness.
Ja'Kobe Walter,G,Jan 25,Out,Jan 24: Walter (hip) is listed as questionable for Sunday's game against OKC.
Collin Murray-Boyles,F,Jan 25,Out,Jan 24: Murray-Boyles (thumb) is questionable for Sunday's game in Oklahoma City.
Jakob Poeltl,C,Jan 28,Out,"Jan 21: Poeltl (back) isn't with the team on their road trip and is seeing a specialist in Toronto on Thursday, Michael Grange of Sportsnet.ca reports."
Chucky Hepburn,G,Feb 19,Out,"Jan 6: Hepburn produced 17 points (6-10 FG, 1-4 3Pt, 2-2 FT), 15 assists, two rebounds and three steals in 35 minutes of Wednesday's 115-108 G League win over the Delaware Blue Coats."
Lauri Markkanen,F,Jan 27,Out,Jan 24: Markkanen (conditioning) has been ruled out for Saturday's game against the Heat.
Kevin Love,F,Jan 27,Out,Jan 23: Love has been ruled out for Saturday's game against the Heat due to a left knee contusion.
Georges Niang,F,Jan 27,Out,Jan 20: Niang (foot) is out for Tuesday's game against the Spurs.
Elijah Harkless,G,Jan 27,Out,"Jan 13: Harkless finished Monday's 105-103 win over the Celtics with three points (1-4 FG, 0-2 3Pt, 1-1 FT), one rebound, two assists and one steal across 21 minutes."
Walker Kessler,C,Oct 1,Out,"Nov 5: Kessler will undergo left shoulder surgery and will miss the remainder of the 2025-26 season, Tony Jones of The Athletic reports."
Khris Middleton,F,Jan 27,Day-To-Day,Jan 24: Middleton (foot) has been ruled out for Saturday's game against the Hornets.
AJ Johnson,G,Jan 27,Day-To-Day,Jan 24: Johnson (illness) will not play Saturday against the Hornets.
Marvin Bagley III,F,Jan 27,Day-To-Day,Jan 24: Bagley is out for Saturday's game against the Hornets due to a thoracic strain.
Kyshawn George,F,Jan 27,Day-To-Day,"Jan 24: George did not return to Saturday's 119-115 loss to the Hornets after sustaining an ankle injury early in the fourth quarter. He finished with 11 points (4-15 FG, 2-10 3Pt, 1-1 FT), eight rebounds, seven assists, two steals and one block over 25 minutes prior to his injury."
Tristan Vukcevic,F,Jan 27,Out,Jan 23: Vukcevic (hamstring) will not play Saturday against Charlotte.
Bilal Coulibaly,G,Jan 27,Out,Jan 23: Coulibaly (back) will not play Saturday against Charlotte.
Cam Whitmore,F,Oct 1,Out,Jan 15: Whitmore has begun the recovery process for a diagnosed venous condition and he will miss the remainder of the 2025-26 season.
Trae Young,G,Feb 19,Out,"Jan 14: Young (knee, quadriceps) will be re-evaluated following the mid-February All-Star break, Shams Charania of ESPN reports."
